English,Japanese
Go,行け。
Go,行きなさい。
Hi,こんにちは。
Hi,もしもし。
Hi,やっほー。
Hi,こんにちは！
Run,走れ。
Run,走って！
Who,誰？
Wow,すごい！
Wow,ワォ！
Wow,わぉ！
Wow,おー！
Duck,頭を下げろ！
Duck,伏せて！
Fire,火事だ！
Fire,火事！
Fire,撃て！
Help,助けて！
Help,助けてくれ！
Hide,隠れろ。
Jump,飛び越えろ！
Jump,跳べ！
Jump,飛び降りろ！
Jump,飛び跳ねて！
Jump,ジャンプして！
Jump,跳べ！
Jump,飛び跳ねて！
Jump,ジャンプして！
Jump,跳んで。
Stop,やめろ！
Stop,止まれ！
Wait,待って！
Wait,待ってろよ。
Wait,待ってくれ。
Wait,待ってろよ。
Wait,待ってくれ。
Go on,続けて。
Go on,進んで。
Go on,進め。
Go on,続けろ。
Hello,こんにちは。
Hello,もしもし。
Hello,こんにちは！
Hello,もしもし。
Hello,やあ！
Hurry,急げ！
I bit,かじった。
I bit,噛みついた。
I bit,噛んだ。
I see,なるほど。
I see,なるほどね。
I see,わかった。
I see,わかりました。
I see,そうですか。
I see,そうなんだ。
I see,そっか。
I try,頑張ってみる。
I try,やってみる。
I try,試してみる。
I try,やってみよう！
I try,トライしてみる。
I try,頑張ってみる。
I try,トライします。
I try,やってみる。
I won,俺の勝ちー！
I won,勝ったぁ！
I won,勝ったぞ！
I won,私の勝ち！
I won,私が勝ち！
Oh no,なんてこった！
Oh no,なんてことだ！
Oh no,しまった！
Oh no,あー、しまった！
Oh no,うわ、しまった！
Oh no,何てことだ！
Relax,落ち着いて。
Relax,くつろいで。
Relax,リラックスして。
Relax,楽にしてください。
Shoot,撃て！
Smile,はい、チーズ。
Smile,にっこり笑って。
Cheers,乾杯！
Fix it,直して。
Freeze,動くな！
Get up,起きなさい！
Get up,起きなさい。
Get up,起きろ！
Go now,さあ、行っといで。
Got it,捕まえた。
Got it,分かった！
He ran,彼は走った。
He ran,彼が走った。
Hop in,乗れよ。
Hop in,さあ乗って。
Hug me,抱きしめて。
Hug me,ぎゅーして。
I know,分かってる。
I know,分かってます。
I left,出発した。
I lost,負けた・・・。
I lost,道に迷ってしまいました。
I lost,道に迷ってしまった。
I paid,払いました。
I quit,辞職します。
I quit,私、辞めます。
I quit,やめた。
I quit,私はやめます。
I 19,１９歳です。
I 30,私は30才です。
I OK,大丈夫ですよ。
I OK,私は大丈夫です。
I up,目は覚めています。
I up,起きてるよ。
Listen,聞きなさい。
Listen,聞いて！
No way,馬鹿な！
No way,まさか！
No way,あり得ねぇー。
No way,とんでもない！
No way,とんでもございません！
No way,とんでもありません！
No way,そんなバカな！
Really,本当？
Really,本当に？
Really,本気？
Really,マジか。
Thanks,ありがとう。
Thanks,どうも！
Thanks,あざっす！
Thanks,ありがとうございます！
Thanks,お疲れさまでした。
Thanks,ありがとう。
Thanks,おおきに！
Thanks,ありがとよ。
We try,私たちは努力しております。
We won,俺らの勝ちー！
We won,勝ったぞ！
We won,勝った！
Why me,何でわたしなの？
Why me,どうして私なの？
Am I OK,僕、大丈夫かな？
Ask Tom,トムに聞きなさい。
Ask Tom,トムに聞いて。
Ask Tom,トムに聞いてごらん。
Awesome,すごいぞ！
Awesome,素晴らしい！
Awesome,すっげー！
Be calm,落ち着いて。
Be cool,落ち着いて。
Be cool,冷静に。
Be good,いい子にしなさい。
Be good,いい子にしときなさい。
Be good,おとなしくしなさい。
Be nice,お行儀よくしなさい。
Be nice,優しくしてあげなさい。
Beat it,どっか行け。
Call me,連絡をちょうだい。
Call me,電話してね。
Call us,お電話ください。
Come in,入っておいでよ。
Come in,お入りください。
Come in,入ってきなさい！
Come in,入って。
Come in,入れ！
Come in,入ってください！
Come on,おいで。
Come on,おいおい。
Get Tom,トムを連れてきて。
Get out,出て行け！
Get out,出ていけ。
Get out,出ろ！
Get out,出てけ！
Get out,出て行け！
Get out,出ていけ。
Get out,外に出ろ。
Get out,消え失せろ。
Get out,出ろ！
Go away,向こうへ行け！
Go away,あっちへ行け！
Go away,離れろ。
Go away,向こうへ行け！
Go away,どっか行け。
Go away,あっちへ行け！
Go away,消え失せろ。
Go home,帰りなさい。
Go slow,ゆっくり、ゆっくり。
Go slow,慌てない、慌てない。
Goodbye,さようなら！
Goodbye,さようなら。
Goodbye,さようなら！
Goodbye,さようなら。
Goodbye,バイバイ。
Goodbye,あばよ。
Hang on,頑張れ！
Hang on,切らないで。
He came,彼は来ました。
He runs,彼は走る。
Help me,助けてくれ。
Help me,助けて！
Help me,助けてくれ。
Help me,助けて！
Help me,手伝ってよ。
Help me,助けてください。
Help me,手伝って。
Help us,手伝って。
Hi Tom,ハーイ、トム。
Hi Tom,やぁ、トム。
Hit Tom,トムを殴れ。
Hold it,動かないで！
Hold it,待って！
Hold it,じっとして！
Hold it,動かないで。
Hold on,お待ちください。
How sad,悲しい。
How sad,悲しいわね。
Hug Tom,トムを抱きしめて。
Hug Tom,トムにハグして。
Hug Tom,トムをハグして。
I agree,賛成です。
I agree,同感です。
I agree,そう思います。
I agree,まったくです。
I agree,同意する。
I agree,私は同意するだろう。
I smoke,私はたばこを吸います。
I tried,やってはみた。
I tried,やってみた。
I go,行くよ。
I go,私が行きます。
I Tom,トムと申します。
I Tom,トムといいます。
I Tom,私はトムです。
I fat,私は太っている。
I fat,俺はデブだ。
I old,私ももう年だ。
I sad,悲しいです。
I sad,悲しい。
I shy,私は引っ込み思案です。
It OK,大丈夫ですよ。
It OK,大丈夫、大丈夫。
It me,僕だよ！
It me,私よ！
It me,私ですが。
It me,僕だよ！
Join us,仲間になって。
Keep it,取っておいて。
Me too,僕もだよ。
Me too,私もそうです。
Me too,私も。
Open up,開けてくれ。
Open up,開けろ。
Perfect,バッチリ！
Perfect,完璧！
Perfect,パーフェクト！
Say aah,あーんして。
Say aah,「アー」といってください。
See you,また会おう！
See you,じゃ、またねっ！
See you,じゃあ、またね。
See you,また会おう！
See you,じゃあな。
Show me,見せて。
Show me,ちょっと見せて。
Shut up,黙ってて。
Skip it,やめておけ。
So long,さようなら。
So long,あばよ。
Stop it,やめなさい。
Stop it,やめろ！
Stop it,いいかげんにして。
Stop it,やめろよ。
Take it,これ取っておいて。
Tell me,教えてよ！
Tell me,教えて。
Tidy up,片付けなさいよ。
Tom ate,トムは食べた。
Tom ran,トムは走った。
Tom won,トムは勝った。
Tom won,トムの勝ち。
Wait up,待って！
Wake up,目を覚ませよ！
Wake up,起きなさい！
Wake up,起きて！
Wake up,起きろ！
Wake up,目を覚ませよ！
Wake up,起きなさい！
Wake up,起きて！
Wake up,起きなさい。
Wash up,手を洗いなさい。
Wash up,顔と手を洗いなさい。
We know,私たちは知ってる。
We know,僕たちは知ってる。
We know,俺たちは知ってる。
We lost,負けた・・・。
Welcome,こんにちは。
Welcome,いらっしゃい。
Welcome,ようこそ。
Who ran,誰が走ったの？
Who won,誰が勝ったの？
Why not,なぜいけないの？
Why not,どうしてダメなの？
Why not,ぜひそうしよう。
You run,君が走れ。
You won,あんたの勝ちだ。
You won,おまえの勝ちだ。
You won,あなたが勝った。
Am I fat,俺、太ってるかな？
Ask them,彼らに聞きなさい。
Back off,下がっていろ！
Back off,引っ込んでて！
Be a man,男になれよ。
Be brave,勇気を出して。
Be quiet,黙っていなさい。
Be quiet,静かにしてくれ。
Be quiet,静かに！
Be quiet,少し静かにしていなさい。
Be quiet,静かにしなさい。
Be quiet,静かにしてなさい。
Be quiet,お静かに。
Be quiet,おとなしくしなさい。
Be still,じっとしてて。
Call Tom,トムに電話して。
Call Tom,トムを呼んで。
Can I go,行けるかな？
Cheer up,元気出して。
