English,Marathi
Always try to be happy.,नेहमी आनंदी राहण्याचा प्रयत्न करा
Anything else,अजुन काही
Are you feeling awkward with us.,तुम्हाला आमच्यासोबत विचित्र जाणवते आहे का?
Are you feeling comfortable in this chair.,तुम्हाला ह्या खुर्चीवर आरामदायक जाणवते आहे का?
Are you in your senses,तु शुद्धीत आहे का?a
All flights are on time.,सर्व विमान वेळेवर आहेत.
Are you listening,तू ऐकतो आहेस का
Are you mad,तु वेडा आहे का
Are you ready for ride?,तुम्ही स्वारी करण्यासाठी तयार आहात का?
Are you still sleepy?,तुम्ही अजुनही झोपेत आहात का?
Are you tired,तु दमलेला आहेस का
At what time do you go to bed,तु किती वाजता झोपतो?
Be careful with chain snatchers on the train.,ट्रेनमध्ये चैन पळवणारयांपासुन सावध राहा.
Be careful with strangers.,अनोळखी व्यक्तींपासुन सावन राहा.
Be careful,सावन राहा
Behave yourself.,तुम्ही जरा व्यवस्थित वागा.
Behave yourself,सभ्यतेने वाग
Believes in yourself.,स्वतावर विश्वास ठेवा.
Can i stay here with you.,मी तुमच्यासोबत राहु शकते का?
Can you turn the volume down?,तुम्ही आवाज कमी करू शकतात का?
Close the window.,खिडकी बंद करा.
Come at least once,किमान एकदा तर ये
Come with me.,माझ्यासोबत चला.
Come with us,आमच्यासोबत चल
Complete your homework.,तुमचा गृहपाठ पुर्ण करा.
Control your tongue,आपल्या जिभेवर नियंत्रण ठेवा
Cuts the vegetables.,भाज्या कापुन घ्या
Do iron on clothes.,कपडयांवर इस्त्री करून द्या
Do me a favor please,माझ्यावर एक उपकार कर
Do you have fever?तुम्हाला ताप आहे का?,तुम्हाला ताप आहे का?
Do you have no idea about this,तुम्हाला याविषयी कुठलीही कल्पणा नही का?
Do you really mean it,तुम्ही नक्की खरे बोलता आहात का?
Do you study English?,तुम्ही इंग्रजीचा अभ्यास करतात का?
Do you understand this.,तुम्ही हो गोष्ट समजू शकता का?
Don’t depend on your luck.,आपल्या नशिबावर अवलंबुन राहू नका.
Don’t disturb me.,मला त्रास देऊ नका.
Don’t do it,हे करू नकोस
Don’t drag your feet,पाय घसरत चालु नको
Don’t drink and drive.,दारू पिऊन वाहन चालवू नका.
Don’t exaggerate,वाढवुन चढवून बोलू नको
Don’t give this much freedom,त्याला एवढे स्वातंत्र्य देऊ नका
Don’t go home today.,आज घरी जाऊ नका.
Don’t hide,लपवू नकोस
Don’t make excuse.,कारणे नका देऊ
Don’t make fun of him,त्याची चेष्टा करू नका
Don’t move.,हलू नका
Don’t play with words,शब्दांशी खेळु नको
Don’t speak ill to anybody,कोणाला वाईट बोलु नका
Don’t spoil my mind.,.माझे डोके खराब नका करू
Don’t take it to heart.,ते हदयाला लावून घेऊ नका.
Don’t tell me all this.,मला ते सर्व सांगु नको
Don’t touch me.,मला स्पर्श करू नका
Don’t waste time,वेळ वाया घालवू नका
Don’t worry,काळजी नको करू
Drive carefully.,काळजीपुर्वक वाहन चालवा
Drop me home,मला घरी सोड
Eat your lunch properly.,आपले जेवण व्यवस्थित ग्रहण करा.
Even the walls have ears,भींतीला देखील कान असतात
Everybody watching us.,सर्व जण आपल्याकडे बघता आहे.
Everything is fair love and war.,प्रेमात आणि युदधात सर्व काही मान्य असते.
Everything is going fine,सर्व काही छान चालले आहे.
Fever will come down in one or two day,एक दोन दिवसात ताप उतरून जाईल
Fill the bottle with water and place it in fridge.,बाटलीत पाणी भरा आणि फ्रिजमध्ये ठेवून द्या.
Follow him.,त्याचा पाठलाग करा.
Forget it,विसरून जा
Get off the car,गाडीतुन उतरून जा
Get ready,तयार हो
Good job man!,तुम्ही चांगले काम केले
Harassing is a criminal offence.,त्रास देणे हा एक दंडनीय गुन्हा आहे.
He is so skinny,तो खुप सडपातळ आहे
He is the man of the words.,तो व्यक्ती त्याच्या शब्दाचा पक्का आहे
He is watching a movie.,तो एक चित्रपट बघतो आहे.
He never care for me,त्याने माझी कधीच पर्वा केली नाही
He talks strange–,तो विचित्र बोलतो
He was stammering,तो तोतरा बोलतो
Here is your money.,हे घ्या तुमचे पैसे
Here is your watch.,हे बघा तुमचे घडयाळ
His favorite sport is cricket.,त्यांचा आवडता खेळ क्रिकेट आहे.
Hope you all enjoyed the show.,आशा बाळगतो की तुम्ही ह्या शो चा आनंद लुटला असेल.
How are you?,तुम्ही कसे आहात?
How lazy boy you are,किती आळशी मुलगा आहेस तु
How sad,किती दुखद गोष्ट आहे
Hurry up! We have to leave this place now.,त्वरा करा!आपल्याला ही जागा लवकरात लवकर सोडावी लागेल.
I also think so,मला पण असे वाटते
I am just coming,मी बस लगेच येतो आहे
I am lost,मी हरवलो आहे.
I can’t wait anymore.,मी आता अजुन जास्तवेळ वाट बघु शकत नाही.
I can’t walk,मी चालू नही शकत
I come in while,मी थोडया वेळात येतो
I don’t know,मला नाही माहीत
I don’t like it,मला हे आवडत नाही
I don’t mean it,माझा तसा अर्थ नव्हताच
I feel much better,मला आता खुप बर वाटते आहे
I forget my key in hotel.,मी हाँटेलात माझी किल्ली विसरलो.
I had been there once,मी एकदा तिथे गेलो होतो
I had conversation with him.,माझी त्यांच्याशी चर्चा झाली होती.
I have a bad luck,"माझे नशिबच खराब,वाईट आहे"
I have headache.,माझे डोके दुखत आहे.
I have lot of work.,मला खुप काम आहे
I like both,मला दोघे आवडतात
I like this dress.,मला हा पोशाख आवडतो.
I like to eat paneer,मला पनीर खायला आवडते
I love my country.,माझे माझ्या देशावर प्रेम आहे.
I must pick this train in any condition.,मला ही ट्रेन कोणत्याही परिस्थितीत पकडावीच लागेल.
I never said anything to you,मी तुला कधीच काही बोललो नाही
I thought once again,मी पुन्हा एकदा विचार केला
I want you to stay with me the whole night.,माझी ईच्छा आहे की तुम्ही पुर्ण रात्र माझ्यासोबत राहावे.
I will help you,मी तुझी मदत करेल
I will not allow you to go with them.,मी तुला त्यांच्यासोबत जाण्याची परवानगी देऊ नाही शकत.
I will pay today,आज पैसे मी देईल
I will try to give my best performance.,मी माझे सर्वश्रेष्ठ प्रदर्शन करण्याचा प्रयत्न करील.
Is it true?,हे खरे आहे का?
Isn’t it a strange thing.,विचित्र गोष्ट आहे ना ही
It happened by chance.,हे योगायोगाने घडले.
It was my mistake.,ती माझी चुक होती.
Its big deal for me,ही माझ्यासाठी मोठी बाब आहे
Its definitely something.,नक्की काही बात आहे.
Its too much,हे खुप जास्त आहे
Keep the bicycle on stand,साईकलला स्टँड वर लाव
Let me do this,मला हे करू द्या
Let me go,मला जाऊ द्या
Let me live peacefully,मला शांततेत जगु द्या
Let’s go to the kfc.,के एफ सी वर चला
Listen to me,माझे ऐकुन घे
Listen up,कान उघडे ठेवून ऐक
Make a drink for me.,माझ्यासाठी एक ड्रिंक तयार करा.
May i come in,मी आत येऊ शकतो का
May i have attention please!,कृपया माझ्याकडे लक्ष द्या
May you live long,तुला दिर्घायुष्य लाभो
Mind your own business.,आपल्या कामाशी काम ठेवा.
Move out of my way,माझ्या रस्त्यातुन बाजुला हो
My eyes are fluttering,माझे डोळे उडता आहे.
My stomach is upset today.,माझे पोट आज खराब आहे.
Never give up on your dreams.,आपल्या स्वप्रांना कधी सोडु नका.
Nobody come,कोणीच आले नाही
Not even a bit.,थोडेफार पण नाही
Order the pizza!,पिझ्झा आँर्डर करा
Pass me the book.,मला पुस्तक पास करा.
Pass me the bottle.,मला बाटली पास करा.
Play the music.,गाणे वाजवा.
Please calm down!,कृपया शांत व्हा
Please come in,कृपया आत या
Please forgive me,कृपया मला माफ कर
Please leave as soon as possible.,कृपया जेवढया लवकर येता येईल तेवढया लवकर येऊन जा.
Please pack your bags properly.,कृपया आपली बँग व्यवस्थित योग्यपदधतीने पँक करा.
Please sit down.,कृपया खाली बसुन घ्या.
Prepare lunch for kids.,मुलांसाठी दुपारचे जेवण तयार करा.
Put your clothes properly.,तुमचे कपडे व्यवस्थित ठेवा.
Put your socks out of the room.,आपले मोजे खोलीच्या बाहेर ठेवा.
Puts the clothes in washing machine.,कपडे वाँशिंग मशिनमध्ये टाका.
Read the news paper headlines carefully.,वर्तमानपत्रातील बातमी काळजीपुर्वक वाचा.
Read the sentence carefully.,वाक्य काळजीपुर्वक वाचा
Say something,काही तरी बोल
See you tomorrow.,उद्या बघुया.
Shame on you.,लाज वाटायला हवी तुला
She loves bananas.,तिला केळी खुप आवडतात.
Shut down the computer.,कंप्युटर बंद करा.
Shut the door.,दरवाजा बंद करा.
Sit properly on the chair.,"खुर्चीवर व्यवस्थित,नीट बसा."
Sit upright,सरळ बसा
Speak a loud.,जोरात बोला.
Speak gently with elders.,मोठया माणसांशी हळु आवाजात बोलावे
Spit away the anger,राग थुकून दे
Stand away from entrance.,प्रवेश दारांपासुन दुर उभे राहा
Stop finding my evil,माझे दुर्गुण शोधणे बंद कर
Stop teasing girls.,मुलींची चेष्टा करणे बंद करा
Switch on the refrigerator.,फ्रिज चालु करा.
Take hanky from here,इथुन हातरूमाल घेऊन घे
Take some oranges.,काही संत्री घ्या
Take your luggage,तुमचे सामान घेऊन घ्या.
Tell me the truth.,मला खरे सांगा
Thank you very much.,आपले खूप खूप आभार !
The sky is overcast.,आकाशात ढग जमा झाले आहेत.
There is nobody in the room,खोलीत कोणीच नाहीये
Think before you speak,बोलण्याअगोदर विचार करत चला
This bag is very heavy.,ती बँग खुप जड आहे.
This had to happen,हे तर होणारच होते
This is my own decision.,हा माझा वैयक्तिक निर्णय आहे.
Time is up.,वेळ संपला
Tomorrow will be holiday.,उद्या सुटटी असेल.
Touch wood,नजर लागु नये
True is always better,सत्य नेमकी कडुच असते
Trust me,माझ्यावर विश्वास ठेव
Try to understand my words.,माझे बोलणे समजुन घेण्याचा प्रयत्न करा.
Turn on your hot spot.,तुमचा हाँटस्पाँट चालु करा.
Wait for a while,थोडया वेळ वाट बघा
Wake up early in the morning!,सकाळी लवकर उठा
Wake up,उठ
Walk slowly from stairs.,पायरींवरून हळु हळु चला.
Well done,खुप छान
What a nonsense,काय व्यर्थ बडबड आहे
What a shame,किती लाजीरवाणी गोष्ट आहे
What about you?–,उद्या सुटटी असेल.
What are you talking about?,तुम्ही कशाबाबद बोलत आहात?
What did you say?,तुम्ही काय म्हटले
What do you do,तुम्ही काय करतात
What do you think.,तुमचे याबाबद काय मत आहे?
What does it mean,याचा काय अर्थ आहे
What happened to you,तुम्हाला काय झाले
What is the time?,वेळ काय झाला आहे?
What is your name on list?,यादीमध्ये तुमचे नाव काय दिले आहे?
What is your problem?,तुमची समस्या काय आहे?
What next,आता पुढे काय?
What to do,काय करायचे?
What would you like to have?,आपली काय घेण्याची ईच्छा आहे?
What’s going on.,काय चालले आहे?
Where did you get this from?,तुम्हाला हे कुठुन प्राप्त झाले?
Where do you live?,तुम्ही कुठे राहतात?
Where is restaurant?,रेस्टाँरंट कुठे आहे?
Where were you?,तुम्ही कुठे होते?
Who is your favorite singer.,तुमचा आवडता गायक कोण आहे?
Why are you making such noise in the class?,वर्गात एवढा गोंधळ का माजवता आहे?
Why were you absent yesterday.,तुम्ही काल का नाही आले होते?
Yes by all means.,होय प्रत्येक पदधतीने
You are doing quite well.,तुम्ही खूप उत्तम करत आहात.
You are so dull,तु किती आळशी आहेस
You are unnecessarily sitting here,तु विनाकारण इथे बसला आहेस
